keys,ko,en,fr,it,es,ja,el,zh
event.japanese.amaterasu_return.desc,동굴에서 태양신이 나오며 세상이 밝아진다.,,,,,,,
event.japanese.amaterasu_return.choice_1,빛을 받아들인다,,,,,,,
event.japanese.amaterasu_return.choice_2,빛을 담아간다 (도박),,,,,,,
event.chinese.queen_mother_peach.name,서왕모의 복숭아나무,,,,,,,
event.chinese.queen_mother_peach.desc,곤륜산 깊숙이 불로불사의 복숭아가 달려 있다.,,,,,,,
event.chinese.queen_mother_peach.choice_1,복숭아를 따 먹는다,,,,,,,
event.chinese.queen_mother_peach.choice_2,그냥 지나친다,,,,,,,
event.chinese.monkey_king_challenge.name,손오공의 도전,,,,,,,
event.chinese.monkey_king_challenge.desc,원숭이가 우쭐대며 말한다.,,,,,,,
event.chinese.monkey_king_challenge.choice_1,도전을 받아들인다 (도박),,,,,,,
event.chinese.monkey_king_challenge.choice_2,거절한다,,,,,,,
event.chinese.tang_monk_scripture.name,당삼장의 경전,,,,,,,
event.chinese.tang_monk_scripture.desc,서역에서 돌아온 스님이 경전을 펼쳐 보인다.,,,,,,,
event.chinese.tang_monk_scripture.choice_1,경전을 탐독한다,,,,,,,
event.chinese.tang_monk_scripture.choice_2,감사히 거절한다,,,,,,,
event.chinese.eight_immortals_feast.name,팔선의 연회,,,,,,,
event.chinese.eight_immortals_feast.desc,하늘에서 내려온 여덟 신선이 잔치를 열고 당신을 초대한다.,,,,,,,
event.chinese.eight_immortals_feast.choice_1,잔치에 참여한다 (골드 -40),,,,,,,
event.chinese.eight_immortals_feast.choice_2,술을 가져간다,,,,,,,
event.chinese.eight_immortals_feast.choice_3,그냥 지나친다,,,,,,,
event.chinese.celestial_market.name,천계 시장,,,,,,,
event.chinese.celestial_market.desc,구름 위 하늘 시장에 도착했다. 선인들이 기이한 물건을 팔고 있다.,,,,,,,
event.chinese.celestial_market.choice_1,고가 유물을 구입한다 (골드 -80),,,,,,,
event.chinese.celestial_market.choice_2,불량품을 집어든다 (도박 골드 -30),,,,,,,
event.chinese.celestial_market.choice_3,그냥 구경만 한다,,,,,,,
event.chinese.dragon_king_invitation.name,용왕의 용궁 초대,,,,,,,
event.chinese.dragon_king_invitation.desc,바다 아래에서 용왕의 사자가 나타난다.,,,,,,,
event.chinese.dragon_king_invitation.choice_1,초대에 응한다 (HP -25),,,,,,,
event.chinese.dragon_king_invitation.choice_2,보물 하나만 요청한다 (HP -40),,,,,,,
event.chinese.dragon_king_invitation.choice_3,정중히 거절한다,,,,,,,
event.chinese.lu_dongbin_sword.name,여동빈의 검술 수련,,,,,,,
event.chinese.lu_dongbin_sword.desc,검을 든 노인이 말한다.,,,,,,,
event.chinese.lu_dongbin_sword.choice_1,수련을 받는다 (카드 1장 제거),,,,,,,
event.chinese.lu_dongbin_sword.choice_2,감사히 거절한다,,,,,,,
event.chinese.pangu_fragment.name,반고의 파편,,,,,,,
event.chinese.pangu_fragment.desc,고요한 들판에 거대한 빛 조각이 떨어져 있다.,,,,,,,
event.chinese.pangu_fragment.choice_1,파편의 도움을 받는다,,,,,,,
event.chinese.pangu_fragment.choice_2,조용히 놓아둔다,,,,,,,
event.chinese.shennong_herbs.name,신농의 약초,,,,,,,
event.chinese.shennong_herbs.desc,황소 머리의 신인이 약초를 잔뜩 지고 있다.,,,,,,,
event.chinese.shennong_herbs.choice_1,약초를 먹는다 (HP -15),,,,,,,
event.chinese.shennong_herbs.choice_2,좋은 약초만 고른다 (골드 -40),,,,,,,
event.chinese.shennong_herbs.choice_3,거절한다,,,,,,,
event.chinese.phoenix_rebirth.name,봉황의 부활,,,,,,,
event.chinese.phoenix_rebirth.desc,불꽃 속에서 아름다운 새가 솟아오른다.,,,,,,,
event.chinese.phoenix_rebirth.choice_1,깃털을 가져간다 (도박),,,,,,,
event.chinese.phoenix_rebirth.choice_2,깃털을 바람에 돌려보낸다,,,,,,,
relic.burning_blood.name,버닝 블러드,,,,,,,
relic.burning_blood.desc,전투 승리 시 팀 전체 HP +6,,,,,,,
relic.phoenix_feather.name,불사조 깃털,,,,,,,
relic.phoenix_feather.desc,플레이어 턴 시작 시 에너지 +1,,,,,,,
relic.poison_vial.name,독약 병,,,,,,,
relic.poison_vial.desc,전투 시작 시 무작위 적에게 독 3,,,,,,,
relic.war_drum.name,전쟁 북,,,,,,,
relic.war_drum.desc,플레이어 턴 시작 시 카드 1장 추가 드로우,,,,,,,
relic.ancient_artifact.name,고대 유물,,,,,,,
relic.ancient_artifact.desc,팀 전체 최대 HP +15,,,,,,,
relic.hourglass.name,모래시계,,,,,,,
relic.hourglass.desc,턴 종료 시 덱에서 카드 1장 드로우,,,,,,,
relic.blood_stone.name,피의 돌,,,,,,,
relic.blood_stone.desc,피해 5 이상 받을 시 에너지 +1,,,,,,,
relic.emperors_seal.name,황제의 인장,,,,,,,
relic.emperors_seal.desc,전투 시작 시 사기 +2 (나폴레옹 생존 시 적용),,,,,,,
relic.serpent_bracelet.name,독사의 팔찌,,,,,,,
relic.serpent_bracelet.desc,전투 시작 시 무작위 적 독 2 (클레오파트라 생존 시 독 4),,,,,,,
relic.turtle_ship_model.name,거북선 모형,,,,,,,
relic.turtle_ship_model.desc,플레이어 턴 시작 시 방어도 +2 (이순신 생존 시 +4),,,,,,,
relic.artillery_horn.name,포병 나팔,,,,,,,
relic.artillery_horn.desc,플레이어 턴 시작 시 사기 +1 (나폴레옹 생존 시 적용),,,,,,,
relic.nanjung_ilgi.name,난중일기,,,,,,,
relic.nanjung_ilgi.desc,전투 승리 시 팀 HP +8 (이순신 생존 시 적용),,,,,,,
relic.pharaoh_seal.name,파라오의 인장,,,,,,,
relic.pharaoh_seal.desc,플레이어 턴 시작 시 무작위 적 독 +1 (클레오파트라 생존 시 적용),,,,,,,
relic.devils_contract.name,악마의 계약,,,,,,,
relic.devils_contract.desc,전투 승리 시 팀 HP +20. 단 매 플레이어 턴 시작 시 무작위 영웅 HP -3,,,,,,,
relic.cursed_crown.name,저주받은 왕관,,,,,,,
relic.cursed_crown.desc,최대 HP +25. 단 매 전투 시작 시 무작위 영웅 HP -8,,,,,,,
relic.blood_oath.name,피의 서약,,,,,,,
relic.blood_oath.desc,플레이어 턴 시작 시 에너지 +1. 단 턴 종료 시 무작위 영웅 HP -4,,,,,,,
relic.tacticians_map.name,전술가의 지도,,,,,,,
relic.tacticians_map.desc,전투 시작 시 카드 1장 추가 드로우,,,,,,,
relic.iron_will.name,강철 의지,,,,,,,
relic.iron_will.desc,전투 시작 시 에너지 +1,,,,,,,
relic.ancient_shield.name,고대의 방패,,,,,,,
relic.ancient_shield.desc,전투 시작 시 팀 전체 방어도 +4,,,,,,,
relic.ankh_of_life.name,앙크의 생명,,,,,,,
relic.ankh_of_life.desc,전투 승리 시 팀 전체 HP +12,,,,,,,
relic.eye_of_horus.name,호루스의 눈,,,,,,,
relic.eye_of_horus.desc,플레이어 턴 시작 시 카드 1장 드로우. 클레오파트라 생존 시 +2장,,,,,,,
relic.scarab_talisman.name,스카라베 부적,,,,,,,
relic.scarab_talisman.desc,전투 시작 시 팀 전체 방어도 +8,,,,,,,
relic.rune_of_fate.name,운명의 룬,,,,,,,
relic.rune_of_fate.desc,전투 시작 시 카드 2장 추가 드로우,,,,,,,
relic.mjolnir_shard.name,묠니르의 파편,,,,,,,
relic.mjolnir_shard.desc,전투 시작 시 팀 전체 방어도 +10,,,,,,,
relic.idun_apple.name,이둔의 사과,,,,,,,
relic.idun_apple.desc,전투 승리 시 팀 전체 HP +15,,,,,,,
relic.underworld_talisman.name,저승 부적,,,,,,,
relic.underworld_talisman.desc,전투 시작 시 에너지 +1,,,,,,,
relic.dokkaebi_hammer_shard.name,도깨비 방망이 파편,,,,,,,
relic.dokkaebi_hammer_shard.desc,전투 승리 시 팀 사기 +3,,,,,,,
relic.samtaegeuk_charm.name,삼태극 부적,,,,,,,
relic.samtaegeuk_charm.desc,영웅이 피해를 받을 때 방어도 +10,,,,,,,
relic.dragon_scale.name,용의 비늘,,,,,,,
relic.dragon_scale.desc,전투 시작 시 다음 카드 코스트 -1,,,,,,,
relic.eight_immortals_charm.name,팔선의 부적,,,,,,,
relic.eight_immortals_charm.desc,플레이어 턴 종료 시 팀 전체 HP +15,,,,,,,
relic.queen_mother_peach_relic.name,서왕모의 복숭아,,,,,,,
relic.queen_mother_peach_relic.desc,전투 승리 시 팀 최대 HP +10,,,,,,,
relic.ghost_talisman.name,귀신 부적,,,,,,,
relic.ghost_talisman.desc,플레이어 턴 종료 시 무작위 적에게 독 2 부여,,,,,,,
relic.tengu_feather.name,텐구의 깃털,,,,,,,
relic.tengu_feather.desc,전투 시작 시 카드 1장 추가 드로우,,,,,,,
relic.orochi_scale.name,오로치의 비늘,,,,,,,
relic.orochi_scale.desc,영웅이 피해를 받을 때 무작위 적에게 약화 1 부여,,,,,,,
relic.flag_of_orleans.name,오를레앙 깃발,,,,,,,
relic.flag_of_orleans.desc,플레이어 턴 시작 시 HP +20 (잔다르크 생존 시 +40),,,,,,,
relic.saints_tears.name,성녀의 눈물,,,,,,,
relic.saints_tears.desc,영웅이 피해를 받을 때 팀 전체 HP +30 (잔다르크 생존 시 +60),,,,,,,
relic.thousand_horses.name,천군만마,,,,,,,
relic.thousand_horses.desc,전투 시작 시 팀 전체 방어도 +30,,,,,,,
relic.conquerors_whip.name,정복자의 채찍,,,,,,,
relic.conquerors_whip.desc,전투 승리 시 카드 1장 드로우,,,,,,,
relic.niten_ichi_ryu.name,니텐이치류,,,,,,,
relic.niten_ichi_ryu.desc,전투 시작 시 에너지 +1 (무사시 전용),,,,,,,
relic.gorin_sho_relic.name,오륜서,,,,,,,
relic.gorin_sho_relic.desc,플레이어 턴 시작 시 카드 1장 추가 드로우 (무사시 전용),,,,,,,
hero.napoleon.name,나폴레옹,,,,,,,
hero.napoleon.figure,나폴레옹 보나파르트,,,,,,,
hero.cleopatra.name,클레오파트라,,,,,,,
hero.cleopatra.figure,클레오파트라 7세,,,,,,,
hero.yi_sun_sin.name,이순신,,,,,,,
hero.yi_sun_sin.figure,이순신 장군,,,,,,,
hero.joan_of_arc.name,잔다르크,,,,,,,
hero.joan_of_arc.figure,잔 다르크,,,,,,,
hero.joan_of_arc.unlock_desc,챕터 1 클리어 후 해금,,,,,,,
hero.genghis_khan.name,칭기즈칸,,,,,,,
hero.genghis_khan.figure,칭기즈 칸,,,,,,,
hero.genghis_khan.unlock_desc,오시리스 처치 후 해금,,,,,,,
hero.musashi.name,무사시,,,,,,,
hero.musashi.figure,미야모토 무사시,,,,,,,
hero.musashi.unlock_desc,1:1 엘리트 5회 처치 후 해금,,,,,,,
synergy.napoleon_yi.name,철벽 진군 (나폴레옹×이순신),,,,,,,
synergy.napoleon_yi.desc,나폴레옹 사기 카드 사용 시 이순신 방어도 +3,,,,,,,
synergy.yi_cleopatra.name,독침 반격 (이순신×클레오파트라),,,,,,,
synergy.yi_cleopatra.desc,이순신 공격 카드 사용 시 독 걸린 적에게 추가 피해 +4,,,,,,,
synergy.napoleon_cleopatra.name,혼란의 돌격 (나폴레옹×클레오파트라),,,,,,,
synergy.napoleon_cleopatra.desc,나폴레옹 사기 소모 카드 성공 시 대상 매혹 +1,,,,,,,
synergy.joan_napoleon.name,성전 (잔다르크×나폴레옹),,,,,,,
synergy.joan_napoleon.desc,잔다르크 전체 회복 카드 사용 시 나폴레옹 사기 +2,,,,,,,
synergy.genghis_cleopatra.name,약탈과 독 (칭기즈칸×클레오파트라),,,,,,,
synergy.genghis_cleopatra.desc,칭기즈칸 전체 공격 카드 사용 시 적 전체 독 +2,,,,,,,
synergy.musashi_yi.name,검사의 약속 (무사시×이순신),,,,,,,
synergy.musashi_yi.desc,무사시 일기토 카드 사용 시 이순신 방어도 +15,,,,,,,
synergy.joan_yi.name,성녀의 방패 (잔다르크×이순신),,,,,,,
synergy.joan_yi.desc,잔다르크 부활 카드 사용 시 이순신 방어도 +20,,,,,,,
synergy.joan_cleopatra.name,성스러운 독 (잔다르크×클레오파트라),,,,,,,
synergy.joan_cleopatra.desc,잔다르크 정화 카드 사용 시 무작위 적 독 +3,,,,,,,
synergy.joan_genghis.name,신의 원정 (잔다르크×칭기즈칸),,,,,,,
synergy.joan_genghis.desc,잔다르크 전체 회복 카드 사용 시 카드 1장 드로우,,,,,,,
synergy.joan_musashi.name,희생의 칼날 (잔다르크×무사시),,,,,,,
synergy.joan_musashi.desc,잔다르크 체력 희생 카드 사용 시 무사시 방어도 +10,,,,,,,
synergy.napoleon_genghis.name,정복자의 기세 (나폴레옹×칭기즈칸),,,,,,,
synergy.napoleon_genghis.desc,나폴레옹 사기 카드 사용 시 카드 1장 드로우,,,,,,,
synergy.napoleon_musashi.name,황제의 무도 (나폴레옹×무사시),,,,,,,
synergy.napoleon_musashi.desc,나폴레옹 사기 소모 카드 성공 시 무사시 방어도 +8,,,,,,,
synergy.yi_genghis.name,수륙 협공 (이순신×칭기즈칸),,,,,,,
synergy.yi_genghis.desc,이순신 전체 공격 카드 사용 시 카드 1장 드로우,,,,,,,
synergy.genghis_musashi.name,초원의 결투사 (칭기즈칸×무사시),,,,,,,
synergy.genghis_musashi.desc,무사시 공격 카드 사용 시 칭기즈칸 방어도 +4,,,,,,,
synergy.cleopatra_musashi.name,독날 (클레오파트라×무사시),,,,,,,
synergy.cleopatra_musashi.desc,무사시 공격 카드 사용 시 대상에게 독 +1,,,,,,,
status.poison_dmg.desc,독: 매 턴 %d×10 피해. 지속 3턴 중첩 시 갱신,,,,,,,
status.weak.desc,약화: 공격 피해 25% 감소. 매 턴 1 감소,,,,,,,
status.vulnerable.desc,취약: 받는 피해 50% 증가. 매 턴 1 감소,,,,,,,
status.morale.desc,사기: CONSUME_MORALE 카드로 추가 피해 제공,,,,,,,
status.charm.desc,매혹: 다음 행동 아군에게 적용,,,,,,,
status.strength.desc,강화: 피해 +%d,,,,,,,
status.taunt.desc,도발: 이 대상이 우선 공격 받음,,,,,,,
status.counter_block.desc,반격 방어: 피해 = 현재 방어도 기반,,,,,,,
status.charm_resistance.desc,매혹 저항 %d: 매혹 스택 초과 시 반함,,,,,,,
battle.btn_end_turn,턴 종료,,,,,,,
battle.token_tooltip,다음 턴 시작 시 상대를 공격합니다,,,,,,,
battle.token_soldier,병사,,,,,,,
battle.msg_player_turn,플레이어 턴,,,,,,,
battle.msg_enemy_turn,적 턴...,,,,,,,
battle.popup_block,BLOCK,,,,,,,
battle.msg_victory,🏆 승리!,,,,,,,
battle.msg_defeat,💀 패배...,,,,,,,
battle.drag_enemy,적을 선택하세요 ▶,,,,,,,
battle.drag_ally,아군을 선택하세요 ▶,,,,,,,
battle.drag_release,놓아서 사용 ▶,,,,,,,
